voltage,current,light
227.9,0.195,308
220.1,0.192,273
210.3,0.187,232
200.2,0.182,195
189.9,0.177,161
180.1,0.172,132
169.8,0.167,105
160.0,0.162,83
150.3,0.157,65
140.3,0.152,49
