1/T,ln(1/R)
0.003331667499583542,-12.061046873479915
0.003298697014679202,-11.931635799828413
0.0032451728054518907,-11.728036844587173
0.003193357815743254,-11.512925464970229
0.0031431714600031434,-11.33857207782545
0.0030945381401825778,-11.141861783579396
0.0030016509079994,-10.778956289890028
0.0029572674848440043,-10.621327345686446
0.002914177473408131,-10.4341158035983
0.002872325147206664,-10.275051108968611
0.002831657935721365,-10.1226230824528
0.002792126204104426,-9.966462351697517
0.002753683051080821,-9.814656338829513
